time,real,imag,mag,phase
1.129032224416732788e+01,-5.264397581571274287e+01,5.460826681679301146e+03,5.461080427491455339e+03,1.580436322375757152e+00
1.145161256194114685e+01,3.537472885184507504e+03,4.016367661104970921e+03,5.352095253504501670e+03,8.487109533871672884e-01
1.161290287971496582e+01,3.459873165225493267e+03,4.320107380350195854e+03,5.534803528329050096e+03,8.955210649571032633e-01
1.177419319748878479e+01,4.512311500888988121e+03,2.732476017219923506e+03,5.275166373275546903e+03,5.444978170832378561e-01
1.193548351526260376e+01,5.255610908678759188e+03,-1.279539076897978873e+02,5.257168270648777252e+03,-2.434134451213253517e-02
1.209677383303642273e+01,5.201835438461217564e+03,2.166586209722357808e+02,5.206345444443020824e+03,4.162635869538373196e-02
1.225806415081024170e+01,4.095680076900679524e+03,2.976242874112246227e+03,5.062866474441636456e+03,6.284075548383247778e-01
1.241935446858406067e+01,1.060558430942448467e+03,5.585229508012903352e+03,5.685030592936256653e+03,1.383144144338324555e+00
1.258064478635787964e+01,1.309231100273398170e+02,5.416373208491447258e+03,5.417955296456695578e+03,1.546629302909155790e+00
1.274193510413169861e+01,-2.917301513424735049e+02,5.397305083178271161e+03,5.405183497542364421e+03,1.624794858549147847e+00
1.290322542190551758e+01,-1.435749240639557456e+03,5.191981534903477041e+03,5.386840274295845120e+03,1.840586303588422457e+00
1.306451573967933655e+01,-5.221866971948021273e+03,3.225021815795235398e+03,6.137479970238337955e+03,2.588332840073330754e+00
1.322580605745315552e+01,-5.189575502385926484e+03,2.028340065342271600e+03,5.571880949521160801e+03,2.768999931596458186e+00
1.338709637522697449e+01,-4.698494458210709126e+03,2.775458744254301564e+03,5.457015797566872607e+03,2.608030291263803147e+00
1.354838669300079346e+01,-4.916663817272716187e+03,2.816942864654928144e+03,5.666458346693199019e+03,2.621309504809877566e+00
1.370967701077461243e+01,-6.178556738724439128e+03,-1.466180459037301034e+03,6.350137676625602580e+03,-2.908600811999465297e+00
1.387096732854843140e+01,-6.067055426320468541e+03,-7.934510284749392213e+02,6.118719317032983781e+03,-3.011550442804491468e+00
1.403225764632225037e+01,-5.681042534617080491e+03,1.013143356216482744e+03,5.770676194379136177e+03,2.965110432419650000e+00
1.419354796409606934e+01,-5.802687139659010427e+03,1.022152486182719940e+03,5.892026285224259482e+03,2.967229848850790219e+00
1.435483828186988831e+01,-5.870961801206125529e+03,-1.460076935596182238e+03,6.049794800576413763e+03,-2.897842908704387987e+00
1.451612859964370728e+01,-6.068879390561355649e+03,-1.511083338814865101e+03,6.254172200541352140e+03,-2.897565881252350373e+00
