time,phase_detrended
1.512999966181814671e+01,2.548072485050845160e-02
1.513499966170638800e+01,6.824968216392335307e-03
1.513999966159462929e+01,-8.903601767983104764e-03
1.514499966148287058e+01,-2.676419422592113406e-02
1.514999966137111187e+01,-4.014519430423302282e-02
1.515499966125935316e+01,-7.007599367928873946e-02
1.515999966114759445e+01,-1.119835696438289396e-01
1.516499966103583574e+01,-1.379659548476248609e-01
1.516999966092407703e+01,-1.562666649233586114e-01
1.517499966081231833e+01,-1.735939398672243783e-01
1.517999966070055962e+01,-2.027695172541275070e-01
1.518499966058880091e+01,-2.272123418887441737e-01
1.518999966047704220e+01,-2.451677370088214403e-01
1.519499966036528349e+01,-2.665265213001060118e-01
1.519999966025352478e+01,-2.962385621862480001e-01
1.520499966014176607e+01,-3.184067010124858044e-01
1.520999966003000736e+01,-3.480305427373115990e-01
1.521499965991824865e+01,-3.851129723444208786e-01
1.521999965980648994e+01,-4.221971075586650191e-01
1.522499965969473124e+01,-4.597779646601565240e-01
1.522999965958297253e+01,-4.887927687904178864e-01
1.523499965947121382e+01,-5.186157862073843550e-01
1.523999965935945511e+01,-5.434820961362816227e-01
1.524499965924769640e+01,-5.722094179078307530e-01
1.524999965913593769e+01,-6.051434895850904550e-01
1.525499965902417898e+01,-6.416103252281304403e-01
1.525999965891242027e+01,-6.795937875795257099e-01
1.526499965880066156e+01,-7.165865040623611293e-01
1.526999965868890285e+01,-7.604225883868598324e-01
1.527499965857714415e+01,-8.022450374670582196e-01
1.527999965846538544e+01,-8.409953815758113294e-01
1.528499965835362673e+01,-8.767839033742428345e-01
1.528999965824186802e+01,-9.113067947960111770e-01
1.529499965813010931e+01,-9.520395814182984751e-01
1.529999965801835060e+01,-9.850348195339864166e-01
1.530499965790659189e+01,-1.018420273523246378e+00
1.530999965779483318e+01,-1.047969717628038477e+00
1.531499965768307447e+01,-1.081210630822281082e+00
1.531999965757131577e+01,-1.114590644113178985e+00
1.532499965745955706e+01,-1.147167638174282134e+00
1.532999965734779835e+01,-1.172407686892546597e+00
1.533499965723603964e+01,-1.195435435220565168e+00
1.533999965712428093e+01,-1.226147724622056456e+00
1.534499965701252222e+01,-1.249867242093003705e+00
1.534999965690076351e+01,-1.267490602569920632e+00
1.535499965678900480e+01,-1.293841669819943752e+00
1.535999965667724609e+01,-1.312973766145357768e+00
1.536499965656548738e+01,-1.330806397818151909e+00
1.536999965645372868e+01,-1.346876300432938045e+00
1.537499965634196997e+01,-1.356700724172975603e+00
1.537999965623021126e+01,-1.369692140890227838e+00
1.538499965611845255e+01,-1.389562106967796362e+00
1.538999965600669384e+01,-1.410118192802533921e+00
1.539499965589493513e+01,-1.435190578616720503e+00
1.539999965578317642e+01,-1.458766106215046987e+00
1.540499965567141771e+01,-1.476580118900280958e+00
1.540999965555965900e+01,-1.506989953700559770e+00
1.541499965544790030e+01,-1.532356966405453491e+00
1.541999965533614159e+01,-1.557516275014591889e+00
1.542499965522438288e+01,-1.594179177328100883e+00
1.542999965511262417e+01,-1.620342329577770579e+00
1.543499965500086546e+01,-1.658248067402177561e+00
1.543999965488910675e+01,-1.692522470208770891e+00
1.544499965477734804e+01,-1.731032174451076600e+00
1.544999965466558933e+01,-1.762329901181099334e+00
1.545499965455383062e+01,-1.804892618740724375e+00
1.545999965444207191e+01,-1.849129763573606589e+00
1.546499965433031321e+01,-1.884459895291445974e+00
1.546999965421855450e+01,-1.919277296520373266e+00
1.547499965410679579e+01,-1.959438343183146802e+00
1.547999965399503708e+01,-1.995839175619292583e+00
1.548499965388327837e+01,-2.025776167534914851e+00
1.548999965377151966e+01,-2.056664160823304943e+00
1.549499965365976095e+01,-2.089199659909478868e+00
1.549999965354800224e+01,-2.114836468704111905e+00
1.550499965343624353e+01,-2.130309043971845284e+00
1.550999965332448483e+01,-2.152568922438258703e+00
1.551499965321272612e+01,-2.168470248614548179e+00
1.551999965310096741e+01,-2.192024621248005456e+00
1.552499965298920870e+01,-2.206248246441934846e+00
1.552999965287744999e+01,-2.216169169958557728e+00
1.553499965276569128e+01,-2.224568727560341852e+00
1.553999965265393257e+01,-2.237346024821099899e+00
1.554499965254217386e+01,-2.247649277230741038e+00
1.554999965243041515e+01,-2.252949269576938196e+00
1.555499965231865644e+01,-2.271705931829670178e+00
1.555999965220689774e+01,-2.287538479051209883e+00
1.556499965209513903e+01,-2.305534485687664503e+00
1.556999965198338032e+01,-2.334984160529281816e+00
1.557499965187162161e+01,-2.359321393628657226e+00
1.557999965175986290e+01,-2.378077246335646322e+00
1.558499965164810419e+01,-2.374501802341984824e+00
1.558999965153634548e+01,-2.366815550379563149e+00
1.559499965142458677e+01,-2.340607207352514152e+00
1.559999965131282806e+01,-2.302262242954530969e+00
1.560499965120106936e+01,-2.251195942823607687e+00
1.560999965108931065e+01,-2.202305703357576139e+00
1.561499965097755194e+01,-2.180012273611951823e+00
1.561999965086579323e+01,-2.193472896367968161e+00
1.562499965075403452e+01,-2.217379406865784830e+00
1.562999965064227581e+01,-2.288367326797573931e+00
1.563499965053051710e+01,-2.381666541406839865e+00
1.563999965041875839e+01,-2.459120712919962148e+00
1.564499965030699968e+01,-2.497782859549489309e+00
1.564999965019524097e+01,-2.530111679649502676e+00
1.565499965008348227e+01,-2.567197803004944490e+00
1.565999964997172356e+01,-2.621104251136491925e+00
1.566499964985996485e+01,-2.652920433816160717e+00
1.566999964974820614e+01,-2.684805940604759744e+00
1.567499964963644743e+01,-2.712058076182990440e+00
1.567999964952468872e+01,-2.715479433811295529e+00
1.568499964941293001e+01,-2.718601401223756042e+00
1.568999964930117130e+01,-2.704531378203958170e+00
1.569499964918941259e+01,-2.682492784833543809e+00
1.569999964907765388e+01,-2.664599048038825302e+00
1.570499964896589518e+01,-2.652611375457723408e+00
1.570999964885413647e+01,-2.640769794655449143e+00
1.571499964874237776e+01,-2.612932315249717252e+00
1.571999964863061905e+01,-2.587031838618142121e+00
1.572499964851886034e+01,-2.553280221334684352e+00
1.572999964840710163e+01,-2.520002919530543117e+00
1.573499964829534292e+01,-2.488968262643608043e+00
1.573999964818358421e+01,-2.467770366903125012e+00
1.574499964807182550e+01,-2.465085996002190249e+00
1.574999964796006680e+01,-2.452891980289602536e+00
1.575499964784830809e+01,-2.457795388399531600e+00
1.575999964773654938e+01,-2.471040088641212051e+00
1.576499964762479067e+01,-2.488536091659466987e+00
1.576999964751303196e+01,-2.502240964201376983e+00
1.577499964740127325e+01,-2.514285377209699579e+00
1.577999964728951454e+01,-2.519146571518940281e+00
1.578499964717775583e+01,-2.521694287063423356e+00
1.578999964706599712e+01,-2.526504212379588665e+00
1.579499964695423841e+01,-2.520379325893544742e+00
1.579999964684247971e+01,-2.512852481126693238e+00
1.580499964673072100e+01,-2.500888621294205638e+00
1.580999964661896229e+01,-2.495470231166024622e+00
1.581499964650720358e+01,-2.495986203430325290e+00
1.581999964639544487e+01,-2.488145089162400403e+00
1.582499964628368616e+01,-2.486405696667824738e+00
1.582999964617192745e+01,-2.482925726772696962e+00
1.583499964606016874e+01,-2.489363841816543133e+00
1.583999964594841003e+01,-2.493781141689039416e+00
1.584499964583665133e+01,-2.501111455971615882e+00
1.584999964572489262e+01,-2.497263034988663755e+00
1.585499964561313391e+01,-2.495359758730334221e+00
1.585999964550137520e+01,-2.490028362166248677e+00
1.586499964538961649e+01,-2.494396166805623150e+00
1.586999964527785778e+01,-2.505552173491062184e+00
1.587499964516609907e+01,-2.519560096185998077e+00
1.587999964505434036e+01,-2.538420228170725323e+00
1.588499964494258165e+01,-2.548705801653966319e+00
1.588999964483082294e+01,-2.571104261525784640e+00
1.589499964471906424e+01,-2.597021831340126319e+00
1.589999964460730553e+01,-2.609244324442760554e+00
1.590499964449554682e+01,-2.620710223129360639e+00
1.590999964438378811e+01,-2.627422530251773303e+00
1.591499964427202940e+01,-2.632496070553935752e+00
1.591999964416027069e+01,-2.644569720014762648e+00
1.592499964404851198e+01,-2.658662830697624102e+00
1.592999964393675327e+01,-2.664871934255525154e+00
1.593499964382499456e+01,-2.666015111898924594e+00
1.593999964371323586e+01,-2.664787681724085644e+00
1.594499964360147715e+01,-2.661043237730199351e+00
1.594999964348971844e+01,-2.666230592988979797e+00
1.595499964337795973e+01,-2.674027361219075694e+00
1.595999964326620102e+01,-2.688856269256342024e+00
1.596499964315444231e+01,-2.704812471618193825e+00
1.596999964304268360e+01,-2.717512581019251972e+00
1.597499964293092489e+01,-2.733482012039717635e+00
1.597999964281916618e+01,-2.747752691466869290e+00
1.598499964270740747e+01,-2.764136969148609513e+00
1.598999964259564877e+01,-2.780083070939840528e+00
1.599499964248389006e+01,-2.797739339688573246e+00
1.599999964237213135e+01,-2.822359779324345563e+00
1.600499964226037264e+01,-2.838014186994592070e+00
1.600999964214861393e+01,-2.856811284586295852e+00
1.601499964203685522e+01,-2.874388967054108512e+00
1.601999964192509651e+01,-2.893946332656899934e+00
1.602499964181333780e+01,-2.914149103469225288e+00
1.602999964170157909e+01,-2.936302199658213041e+00
1.603499964158982038e+01,-2.961084368310494153e+00
1.603999964147806168e+01,-2.983701675116589236e+00
1.604499964136630297e+01,-3.003920752494602997e+00
1.604999964125454426e+01,-3.015163294288614182e+00
1.605499964114278555e+01,-3.035698329971719289e+00
1.605999964103102684e+01,-3.049485046694832224e+00
1.606499964091926813e+01,-3.057878009443191214e+00
1.606999964080750942e+01,-3.069438874289314167e+00
1.607499964069575071e+01,-3.082305628263005914e+00
1.607999964058399200e+01,-3.091451447355444415e+00
1.608499964047223330e+01,-3.097640182847641199e+00
1.608999964036047459e+01,-3.108453242930349525e+00
1.609499964024871588e+01,-3.118953762573415389e+00
1.609999964013695717e+01,-3.130828378351110608e+00
1.610499964002519846e+01,-3.138142608253812860e+00
1.610999963991343975e+01,-3.149689438607816250e+00
1.611499963980168104e+01,-3.165535038135193879e+00
1.611999963968992233e+01,-3.178384746723497578e+00
1.612499963957816362e+01,-3.195328909564280728e+00
1.612999963946640491e+01,-3.217060039356308465e+00
1.613499963935464621e+01,-3.238401898777016452e+00
1.613999963924288750e+01,-3.248633904007928397e+00
1.614499963913112879e+01,-3.263525254700347489e+00
1.614999963901937008e+01,-3.277723459133336625e+00
1.615499963890761137e+01,-3.298507367731328799e+00
1.615999963879585266e+01,-3.318518223466155881e+00
1.616499963868409395e+01,-3.336844125066770861e+00
1.616999963857233524e+01,-3.353924136631569741e+00
1.617499963846057653e+01,-3.363287773355724486e+00
1.617999963834881783e+01,-3.370658572142135601e+00
1.618499963823705912e+01,-3.384304519514139020e+00
1.618999963812530041e+01,-3.379620504893350308e+00
1.619499963801354170e+01,-3.379113266655036973e+00
1.619999963790178299e+01,-3.377384854759266197e+00
1.620499963779002428e+01,-3.371959615157658963e+00
1.620999963767826557e+01,-3.372974276732113807e+00
1.621499963756650686e+01,-3.361962452232717169e+00
1.621999963745474815e+01,-3.361048620492867123e+00
1.622499963734298944e+01,-3.348483731924867257e+00
1.622999963723123074e+01,-3.338281338206479099e+00
1.623499963711947203e+01,-3.326077324260423129e+00
1.623999963700771332e+01,-3.320085206274596690e+00
1.624499963689595461e+01,-3.314835213997064933e+00
1.624999963678419590e+01,-3.312779911408198608e+00
1.625499963667243719e+01,-3.309985446418959754e+00
1.625999963656067848e+01,-3.305183019209713358e+00
1.626499963644891977e+01,-3.282119935606027106e+00
1.626999963633716106e+01,-3.247016545097884510e+00
1.627499963622540236e+01,-3.203652025699355477e+00
1.627999963611364365e+01,-3.157559050451739235e+00
1.628499963600188494e+01,-3.092658231450385653e+00
1.628999963589012623e+01,-3.017474306885401525e+00
1.629499963577836752e+01,-2.962678632499454068e+00
1.629999963566660881e+01,-2.943775057076870372e+00
1.630499963555485010e+01,-2.951713490049005628e+00
1.630999963544309139e+01,-2.982769594405580538e+00
1.631499963533133268e+01,-3.052312756280526784e+00
1.631999963521957397e+01,-3.159200136886361143e+00
1.632499963510781527e+01,-3.191777304006123472e+00
1.632999963499605656e+01,-3.197360405921941595e+00
1.633499963488429785e+01,-3.217388377135715238e+00
1.633999963477253914e+01,-3.243725086897110366e+00
1.634499963466078043e+01,-3.264107411517501944e+00
1.634999963454902172e+01,-3.278597101363431410e+00
1.635499963443726301e+01,-3.276656602865915424e+00
1.635999963432550430e+01,-3.262421052453686521e+00
1.636499963421374559e+01,-3.235741391467751082e+00
1.636999963410198689e+01,-3.209087995433528739e+00
1.637499963399022818e+01,-3.165219363094662341e+00
1.637999963387846947e+01,-3.127084213301332127e+00
1.638499963376671076e+01,-3.084442813512183079e+00
1.638999963365495205e+01,-3.047493457603498435e+00
1.639499963354319334e+01,-3.007292036518679712e+00
1.639999963343143463e+01,-2.956067318843713210e+00
1.640499963331967592e+01,-2.899348563527416545e+00
1.640999963320791721e+01,-2.842715106816293691e+00
1.641499963309615850e+01,-2.787109425089827841e+00
1.641999963298439980e+01,-2.738077080355388659e+00
1.642499963287264109e+01,-2.700185376872632492e+00
1.642999963276088238e+01,-2.666500465228883954e+00
1.643499963264912367e+01,-2.643593667575395045e+00
1.643999963253736496e+01,-2.630279183675655830e+00
1.644499963242560625e+01,-2.606524524530041464e+00
1.644999963231384754e+01,-2.592251356432086595e+00
1.645499963220208883e+01,-2.573045245206303733e+00
1.645999963209033012e+01,-2.547209712963049100e+00
1.646499963197857141e+01,-2.526863091402541173e+00
1.646999963186681271e+01,-2.499210121785262473e+00
1.647499963175505400e+01,-2.467014113074839976e+00
1.647999963164329529e+01,-2.424625204438559667e+00
1.648499963153153658e+01,-2.386712138098606051e+00
1.648999963141977787e+01,-2.353324735221759667e+00
1.649499963130801916e+01,-2.316579141943640785e+00
1.649999963119626045e+01,-2.283049542431819567e+00
1.650499963108450174e+01,-2.257392373756383019e+00
1.650999963097274303e+01,-2.226238968185707545e+00
1.651499963086098433e+01,-2.206299541651914886e+00
1.651999963074922562e+01,-2.183035085260593089e+00
1.652499963063746691e+01,-2.166020621556004944e+00
1.652999963052570820e+01,-2.140761346901058904e+00
1.653499963041394949e+01,-2.117816978680603590e+00
1.653999963030219078e+01,-2.093816286033680640e+00
1.654499963019043207e+01,-2.062470625226278553e+00
1.654999963007867336e+01,-2.042482070147201512e+00
1.655499962996691465e+01,-2.039519094663711840e+00
1.655999962985515594e+01,-2.043191960552774411e+00
1.656499962974339724e+01,-2.040466234020950953e+00
1.656999962963163853e+01,-2.031818840585026820e+00
1.657499962951987982e+01,-2.044824675306575745e+00
1.657999962940812111e+01,-2.054082071198486403e+00
1.658499962929636240e+01,-2.052878347628368072e+00
1.658999962918460369e+01,-2.045338313199571267e+00
1.659499962907284498e+01,-2.037267669969264006e+00
1.659999962896108627e+01,-2.035957937126228856e+00
1.660499962884932756e+01,-2.035923603040849628e+00
1.660999962873756886e+01,-2.036562280260073798e+00
1.661499962862581015e+01,-2.033205982149203450e+00
1.661999962851405144e+01,-2.027359131274863557e+00
1.662499962840229273e+01,-2.015085194940235525e+00
1.662999962829053402e+01,-2.008648999367411481e+00
1.663499962817877531e+01,-2.000742733511506888e+00
1.663999962806701660e+01,-1.999078276008894095e+00
1.664499962795525789e+01,-2.009529411021973022e+00
1.664999962784349918e+01,-2.010403780747257674e+00
1.665499962773174047e+01,-2.024800859316505441e+00
1.665999962761998177e+01,-2.031160626744407782e+00
1.666499962750822306e+01,-2.034631369276148849e+00
1.666999962739646435e+01,-2.054020866984035187e+00
1.667499962728470564e+01,-2.062997563514060495e+00
1.667999962717294693e+01,-2.081909662368188307e+00
1.668499962706118822e+01,-2.091188171746422242e+00
1.668999962694942951e+01,-2.116180661520559170e+00
1.669499962683767080e+01,-2.122480410771780068e+00
1.669999962672591209e+01,-2.144244509558905776e+00
1.670499962661415339e+01,-2.166545147427251461e+00
1.670999962650239468e+01,-2.187796214029547937e+00
1.671499962639063597e+01,-2.203152002166817169e+00
1.671999962627887726e+01,-2.228198954732855341e+00
1.672499962616711855e+01,-2.243501461581226764e+00
1.672999962605535984e+01,-2.255516860481376007e+00
1.673499962594360113e+01,-2.258163369657606001e+00
1.673999962583184242e+01,-2.263231245244622603e+00
1.674499962572008371e+01,-2.268510494183785919e+00
1.674999962560832500e+01,-2.268973025989221348e+00
1.675499962549656630e+01,-2.268632276997920805e+00
1.675999962538480759e+01,-2.266794228995386629e+00
1.676499962527304888e+01,-2.257657329296760107e+00
1.676999962516129017e+01,-2.258806888551016634e+00
1.677499962504953146e+01,-2.255596297483712043e+00
1.677999962493777275e+01,-2.248460720986507955e+00
1.678499962482601404e+01,-2.245276294267282591e+00
1.678999962471425533e+01,-2.245811459919482278e+00
1.679499962460249662e+01,-2.237059331550956820e+00
1.679999962449073792e+01,-2.236330845478669893e+00
1.680499962437897921e+01,-2.235458557231154053e+00
1.680999962426722050e+01,-2.243372882474886865e+00
1.681499962415546179e+01,-2.242273636289737304e+00
1.681999962404370308e+01,-2.236480651210662973e+00
1.682499962393194437e+01,-2.231158446796600359e+00
1.682999962382018566e+01,-2.232752051447672859e+00
1.683499962370842695e+01,-2.221784630074624456e+00
1.683999962359666824e+01,-2.216311828843840814e+00
1.684499962348490953e+01,-2.212777928028571761e+00
1.684999962337315083e+01,-2.208921379464579005e+00
1.685499962326139212e+01,-2.196098414756749051e+00
1.685999962314963341e+01,-2.183094160877934176e+00
1.686499962303787470e+01,-2.166144218464219673e+00
1.686999962292611599e+01,-2.147419807047822982e+00
1.687499962281435728e+01,-2.123742067768690234e+00
1.687999962270259857e+01,-2.102589961622900905e+00
1.688499962259083986e+01,-2.081984765563064776e+00
1.688999962247908115e+01,-2.048645283468418565e+00
1.689499962236732244e+01,-2.024563642071675051e+00
1.689999962225556374e+01,-2.002387095169570141e+00
1.690499962214380503e+01,-1.980428897444480807e+00
1.690999962203204632e+01,-1.964524497827150551e+00
1.691499962192028761e+01,-1.946324680164355447e+00
1.691999962180852890e+01,-1.925417314566086446e+00
1.692499962169677019e+01,-1.907876567313973037e+00
1.692999962158501148e+01,-1.890168062110726854e+00
1.693499962147325277e+01,-1.881670244696430849e+00
1.693999962136149406e+01,-1.880524675011430835e+00
1.694499962124973536e+01,-1.888051952475563677e+00
1.694999962113797665e+01,-1.889278696012612668e+00
1.695499962102621794e+01,-1.869765229119739303e+00
1.695999962091445923e+01,-1.828075566828758269e+00
1.696499962080270052e+01,-1.792004555656265152e+00
1.696999962069094181e+01,-1.743507601637842130e+00
1.697499962057918310e+01,-1.666368353617633691e+00
1.697999962046742439e+01,-1.578298633411103324e+00
1.698499962035566568e+01,-1.521853482506066779e+00
1.698999962024390697e+01,-1.503893450523293041e+00
1.699499962013214827e+01,-1.513878170472296114e+00
1.699999962002038956e+01,-1.575545070713639362e+00
1.700499961990863085e+01,-1.668150547238325565e+00
1.700999961979687214e+01,-1.744230180022531940e+00
1.701499961968511343e+01,-1.779948273364182931e+00
1.701999961957335472e+01,-1.816391433340747152e+00
1.702499961946159601e+01,-1.859240998734668082e+00
1.702999961934983730e+01,-1.885758942829025120e+00
1.703499961923807859e+01,-1.899668901911545582e+00
1.703999961912631989e+01,-1.901761964402045368e+00
1.704499961901456118e+01,-1.895661440862299596e+00
1.704999961890280247e+01,-1.882279430871070636e+00
1.705499961879104376e+01,-1.852899298054045296e+00
1.705999961867928505e+01,-1.822657450642086729e+00
1.706499961856752634e+01,-1.779341832877464391e+00
1.706999961845576763e+01,-1.746614597935998159e+00
1.707499961834400892e+01,-1.711592588368596957e+00
1.707999961823225021e+01,-1.674340034279071965e+00
1.708499961812049150e+01,-1.624749696510838337e+00
1.708999961800873280e+01,-1.570775237121795787e+00
