time,phase_filtered
6.704999850131571293e+00,4.069328842210352959e-01
6.709999850019812584e+00,4.062104277263700602e-01
6.714999849908053875e+00,4.043401502356467336e-01
6.719999849796295166e+00,4.013593979183344151e-01
6.724999849684536457e+00,3.973103645526342431e-01
6.729999849572777748e+00,3.922396279257474028e-01
6.734999849461019039e+00,3.861976691885292690e-01
6.739999849349260330e+00,3.792383801974351099e-01
6.744999849237501621e+00,3.714185636774563481e-01
6.749999849125742912e+00,3.627974308123969038e-01
6.754999849013984203e+00,3.534361006212690670e-01
6.759999848902225494e+00,3.433971052172617444e-01
6.764999848790466785e+00,3.327439047687441032e-01
6.769999848678708076e+00,3.215404156868167940e-01
6.774999848566949368e+00,3.098505552486914838e-01
6.779999848455190659e+00,2.977378055326551642e-01
6.784999848343431950e+00,2.852647991962561358e-01
6.789999848231673241e+00,2.724929292868260577e-01
6.794999848119914532e+00,2.594819849447915217e-01
6.799999848008155823e+00,2.462898145527322169e-01
6.804999847896397114e+00,2.329720175975451002e-01
6.809999847784638405e+00,2.195816662461791691e-01
6.814999847672879696e+00,2.061690573835462115e-01
6.819999847561120987e+00,1.927814956218050213e-01
6.824999847449362278e+00,1.794631075620740368e-01
6.829999847337603569e+00,1.662546873727751839e-01
6.834999847225844860e+00,1.531935735438335611e-01
6.839999847114086151e+00,1.403135564835758520e-01
6.844999847002327442e+00,1.276448164456371326e-01
6.849999846890568733e+00,1.152138911050153425e-01
6.854999846778810024e+00,1.030436719426908593e-01
6.859999846667051315e+00,9.115342844487703267e-02
6.864999846555292606e+00,7.955885897540868057e-02
6.869999846443533897e+00,6.827216703731348035e-02
6.874999846331775188e+00,5.730216150081981347e-02
6.879999846220016479e+00,4.665437923896421923e-02
6.884999846108257771e+00,3.633122847852065379e-02
6.889999845996499062e+00,2.633215104309266988e-02
6.894999845884740353e+00,1.665380153694905052e-02
6.899999845772981644e+00,7.290241395523937643e-03
6.904999845661222935e+00,-1.766854380882578509e-03
6.909999845549464226e+00,-1.052798007999555113e-02
6.914999845437705517e+00,-1.900557404212480095e-02
6.919999845325946808e+00,-2.721378768079384114e-02
6.924999845214188099e+00,-3.516825108473009553e-02
6.929999845102429390e+00,-4.288583746810387815e-02
6.934999844990670681e+00,-5.038442863812770539e-02
6.939999844878911972e+00,-5.768268351234688562e-02
6.944999844767153263e+00,-6.479981154367599194e-02
6.949999844655394554e+00,-7.175535270352187411e-02
6.954999844543635845e+00,-7.856896543942457067e-02
6.959999844431877136e+00,-8.526022377246048056e-02
6.964999844320118427e+00,-9.184842443935295475e-02
6.969999844208359718e+00,-9.835240472168776948e-02
