time,phase_raw,phase_detrended
9.659999784082174301e+00,4.041784018788961319e+00,1.734660375162346391e+00
9.664999783970415592e+00,4.023835902864908221e+00,1.717165575022340462e+00
9.669999783858656883e+00,3.999179573342597660e+00,1.692962561284077516e+00
9.674999783746898174e+00,3.979206286397004355e+00,1.673442590122530937e+00
9.679999783635139465e+00,3.966104882004489074e+00,1.660794501514062382e+00
9.684999783523380756e+00,3.939960708097014930e+00,1.635103643390635852e+00
9.689999783411622047e+00,3.917499111009679069e+00,1.613095362087347162e+00
9.694999783299863338e+00,3.893078494945155121e+00,1.589128061806869496e+00
9.699999783188104630e+00,3.869911009470711871e+00,1.566413892116473860e+00
9.704999783076345921e+00,3.851747812377464442e+00,1.548704010807273157e+00
9.709999782964587212e+00,3.830941691844815811e+00,1.528351206058671252e+00
9.714999782852828503e+00,3.812685592055045980e+00,1.510548422052949036e+00
9.719999782741069794e+00,3.796942031916832772e+00,1.495258177698782553e+00
9.724999782629311085e+00,3.796590573373036737e+00,1.495360034939033689e+00
9.729999782517552376e+00,3.789452120011696845e+00,1.488674897361740967e+00
9.734999782405793667e+00,3.783122610025008381e+00,1.482798703159099674e+00
9.739999782294034958e+00,3.786752401828031189e+00,1.486881810746169208e+00
9.744999782182276249e+00,3.786349199785506325e+00,1.486931924487691070e+00
9.749999782070517540e+00,3.788434380465080409e+00,1.489470420951312768e+00
9.754999781958758831e+00,3.796031672222638598e+00,1.497521028492918127e+00
9.759999781847000122e+00,3.798823722554341309e+00,1.500766394608667120e+00
9.764999781735241413e+00,3.803000206843143882e+00,1.505396194681517308e+00
9.769999781623482704e+00,3.807610348362180819e+00,1.510459651984601415e+00
9.774999781511723995e+00,3.811739265776956653e+00,1.515041885183424419e+00
9.779999781399965286e+00,3.810210408069856669e+00,1.513966343260371161e+00
9.784999781288206577e+00,3.813343795065212039e+00,1.517553046039773257e+00
9.789999781176447868e+00,3.809178827004755519e+00,1.513841393763363463e+00
9.794999781064689159e+00,3.813092341485619929e+00,1.518208224028275488e+00
9.799999780952930450e+00,3.805122171204734727e+00,1.510691369531437012e+00
9.804999780841171741e+00,3.799012577083038078e+00,1.505035091193787977e+00
9.809999780729413033e+00,3.799159504547183985e+00,1.505635334441980611e+00
9.814999780617654324e+00,3.788688736690564607e+00,1.495617882369407958e+00
9.819999780505895615e+00,3.781144335925350042e+00,1.488526797388241008e+00
9.824999780394136906e+00,3.775657523115202530e+00,1.483493300362140666e+00
9.829999780282378197e+00,3.762799574165678340e+00,1.471088667196663202e+00
9.834999780170619488e+00,3.753290786894483588e+00,1.462033195709515176e+00
9.839999780058860779e+00,3.746800871055818050e+00,1.455996595654896808e+00
9.844999779947102070e+00,3.736778916582765842e+00,1.446427956965891326e+00
9.849999779835343361e+00,3.729039462412587103e+00,1.439141818579759757e+00
9.854999779723584652e+00,3.722920381124097400e+00,1.433476053075317225e+00
9.859999779611825943e+00,3.714600025306148634e+00,1.425609013041415629e+00
9.864999779500067234e+00,3.714116612445256926e+00,1.425578915964570648e+00
9.869999779388308525e+00,3.717125323499981704e+00,1.429040942803342595e+00
9.874999779276549816e+00,3.710312734302578352e+00,1.422681669389986858e+00
9.879999779164791107e+00,3.710965900124888694e+00,1.423788150996343482e+00
9.884999779053032398e+00,3.720056346679307957e+00,1.433331913334810359e+00
9.889999778941273689e+00,3.724030169289922476e+00,1.437759051729472048e+00
9.894999778829514980e+00,3.726382233922149734e+00,1.440564432145746032e+00
9.899999778717756271e+00,3.742233490435352028e+00,1.456869004442995497e+00
9.904999778605997562e+00,3.748211650245646620e+00,1.463300480037337259e+00
9.909999778494238853e+00,3.756803376109848713e+00,1.472345521685586078e+00
9.914999778382480145e+00,3.769357878745787982e+00,1.485353340105572073e+00
9.919999778270721436e+00,3.790145064630013660e+00,1.506593841773844922e+00
9.924999778158962727e+00,3.797159939573537812e+00,1.514062032501416688e+00
9.929999778047204018e+00,3.809893488829439789e+00,1.527248897541364947e+00
9.934999777935445309e+00,3.805325793404988666e+00,1.523134517900960994e+00
9.939999777823686600e+00,3.795741544590986116e+00,1.514003584871005614e+00
9.944999777711927891e+00,3.772486926632412363e+00,1.491202282696479031e+00
9.949999777600169182e+00,3.757699347315942795e+00,1.476868019164056633e+00
9.954999777488410473e+00,3.764347706022663331e+00,1.483969693654824340e+00
9.959999777376651764e+00,3.781242030536602794e+00,1.501317333952810529e+00
9.964999777264893055e+00,3.814680269437270344e+00,1.535208888637525249e+00
9.969999777153134346e+00,3.854475209217520071e+00,1.575457144201822146e+00
9.974999777041375637e+00,3.907855051852579642e+00,1.629290302620928443e+00
9.979999776929616928e+00,3.970213428598156291e+00,1.692101995150552263e+00
9.984999776817858219e+00,4.006926487973208495e+00,1.729268370309651637e+00
9.989999776706099510e+00,4.004252532691401356e+00,1.727047730811891668e+00
9.994999776594340801e+00,3.970859800012418006e+00,1.694108313916955488e+00
9.999999776482582092e+00,3.910575595664858461e+00,1.634277425353442226e+00
1.000499977637082338e+01,3.836693291598100242e+00,1.560848437070731620e+00
1.000999977625906467e+01,3.784550284250529195e+00,1.509158745507207300e+00
1.001499977614730597e+01,3.758104772282699901e+00,1.483166549323424732e+00
1.001999977603554726e+01,3.733402227246749305e+00,1.458917320071521750e+00
1.002499977592378855e+01,3.686975632537647041e+00,1.412944041146466212e+00
1.002999977581202984e+01,3.652462016440512826e+00,1.378883740833379612e+00
1.003499977570027113e+01,3.646891074616563699e+00,1.373766114793476767e+00
1.003999977558851242e+01,3.644681814508378359e+00,1.372010170469338597e+00
1.004499977547675371e+01,3.650053340780426314e+00,1.377835012525433278e+00
1.004999977536499500e+01,3.652184033718887335e+00,1.380419021247941913e+00
1.005499977525323629e+01,3.671249357611439557e+00,1.399937660924541305e+00
1.005999977514147758e+01,3.687232930144740184e+00,1.416374549241888658e+00
1.006499977502971888e+01,3.709414161669793764e+00,1.439009096550988964e+00
1.006999977491796017e+01,3.731951038177612645e+00,1.461999288842855016e+00
1.007499977480620146e+01,3.762839941365622387e+00,1.493341507814911928e+00
1.007999977469444275e+01,3.811105989169373487e+00,1.542060871402710198e+00
1.008499977458268404e+01,3.851350638822836014e+00,1.582758836840219452e+00
1.008999977447092533e+01,3.907249070335582442e+00,1.639110584137013049e+00
1.009499977435916662e+01,3.959686367260954576e+00,1.692001196846432798e+00
1.009999977424740791e+01,4.006861080178461876e+00,1.739629225547986380e+00
1.010499977413564920e+01,4.044070736850267522e+00,1.777292198003839196e+00
