real,imag,mag,phase,unwrapped_phase
-6.664094377193673608e+03,1.321955562835645196e+03,6.793947334080273322e+03,2.945765012690905404e+00,2.945765012690904516e+00
-6.625087518248539709e+03,1.417391806436798561e+03,6.775011745923897251e+03,2.930826909536835334e+00,2.930826909536834446e+00
-6.606330434984625754e+03,1.446565942208551860e+03,6.762851088214339143e+03,2.926028221585436739e+00,2.926028221585435851e+00
-6.645237839939851256e+03,1.503864925125159516e+03,6.813280829555623313e+03,2.919034383217066431e+00,2.919034383217065542e+00
-6.632450214871462777e+03,1.538438598703515709e+03,6.808537961613296829e+03,2.913667052062559826e+00,2.913667052062558938e+00
-6.622650279446772402e+03,1.555993935571786096e+03,6.802985657150292354e+03,2.910827754658622979e+00,2.910827754658622091e+00
-6.629135439513429446e+03,1.563058491376538313e+03,6.810916863600466968e+03,2.910035792700516044e+00,2.910035792700515156e+00
-6.633130767936248958e+03,1.589276023808580703e+03,6.820866665196977920e+03,2.906429074055232320e+00,2.906429074055231432e+00
-6.613981175008603714e+03,1.562451657374642082e+03,6.796028411138446245e+03,2.909610961987085798e+00,2.909610961987084909e+00
-6.639867290083837361e+03,1.562089385743720413e+03,6.821140731503674033e+03,2.910535141199113163e+00,2.910535141199112275e+00
-6.615275165196018861e+03,1.526822852658743841e+03,6.789186514941256064e+03,2.914762102961075740e+00,2.914762102961074852e+00
-6.660937574195580964e+03,1.488568398423386043e+03,6.825241771843344395e+03,2.921728003082173952e+00,2.921728003082173064e+00
-6.653165650468637068e+03,1.455648594069664341e+03,6.810545205928285213e+03,2.926196424937181906e+00,2.926196424937181018e+00
-6.706381890407475112e+03,1.374130538674890431e+03,6.845713461524976992e+03,2.939491043144890181e+00,2.939491043144889293e+00
-6.721687236785124696e+03,1.340107681986473381e+03,6.853974606640967977e+03,2.944802235526430501e+00,2.944802235526429612e+00
-6.773526335486870266e+03,1.253037695605749832e+03,6.888451385046073483e+03,2.958670119808314514e+00,2.958670119808313625e+00
-6.775768224067097435e+03,1.214638957130470772e+03,6.883776784764042532e+03,2.964214475743623289e+00,2.964214475743622401e+00
-6.795750520807647263e+03,1.124408015508038261e+03,6.888143329402788368e+03,2.977620675131356531e+00,2.977620675131355643e+00
-6.858134055683527549e+03,1.033999260739014062e+03,6.935643964112850881e+03,2.991949964601503975e+00,2.991949964601503087e+00
-6.857420020725920040e+03,9.631671931071124391e+02,6.924731069329011007e+03,3.002049304765440851e+00,3.002049304765439963e+00
-6.910569190936805171e+03,8.824002642407548365e+02,6.966677599046558498e+03,3.014591395252482098e+00,3.014591395252481210e+00
-6.908964477547177921e+03,7.672307523177189523e+02,6.951433893759672173e+03,3.030997193110063659e+00,3.030997193110062771e+00
-6.913166273060045569e+03,7.036082122560507059e+02,6.948879941064536979e+03,3.040163920255318786e+00,3.040163920255317898e+00
-6.949705567832423185e+03,6.529828180823842558e+02,6.980314752235160086e+03,3.047909348819688446e+00,3.047909348819687558e+00
-6.909316361880049953e+03,7.086469579040970075e+02,6.945562115443940456e+03,3.039386060673579415e+00,3.039386060673578527e+00
-6.834746141773176532e+03,8.052480472320582976e+02,6.882018544006864431e+03,3.024316469960520504e+00,3.024316469960519616e+00
-6.794893048845702651e+03,9.243966612019981994e+02,6.857483556851817411e+03,3.006379876783374261e+00,3.006379876783373373e+00
-6.896202933187702001e+03,9.070202774871503379e+02,6.955594919162525912e+03,3.010818688169482726e+00,3.010818688169481838e+00
-7.020038951817825364e+03,7.198061744268147777e+02,7.056845457694428660e+03,3.039413821638403679e+00,3.039413821638402791e+00
-7.112496764228435495e+03,4.854288608560400462e+02,7.129042810932751308e+03,3.073448195436303987e+00,3.073448195436303099e+00
-7.271952931644902492e+03,1.613598770649097389e+02,7.273742946378109082e+03,3.119406948643754784e+00,3.119406948643753896e+00
-7.304210567443475156e+03,-3.004012141731449788e+02,7.310385277331806719e+03,-3.100488688583165953e+00,3.182696618596419391e+00
-7.374876128375151893e+03,-8.849701357375024600e+02,7.427783656651889942e+03,-3.022165732587102749e+00,3.261019574592482595e+00
-7.288302770888956729e+03,-1.354371299878067475e+03,7.413074861221964966e+03,-2.957860330665415205e+00,3.325324976514170139e+00
-7.185032247615434244e+03,-1.488634262397388284e+03,7.337623618478745811e+03,-2.937297634198845042e+00,3.345887672980740302e+00
-7.118344635732053575e+03,-1.405158326276504340e+03,7.255708116714693460e+03,-2.946698731918945491e+00,3.336486575260639853e+00
-7.076191943815673767e+03,-1.045704826537773897e+03,7.153040682812186787e+03,-2.994876608460555811e+00,3.288308698719029532e+00
-6.970415046992830867e+03,-6.403282064248010101e+02,6.999764720280765687e+03,-3.049986050972555152e+00,3.233199256207030192e+00
